Track URI;Track Name;Artist URI(s);Artist Name(s)
spotify:track:4rRNDclay9ayn1iR1VpMMB;The Kill;spotify:artist:0RqtSIYZmd4fiBKVFqyIqD;Thirty Seconds To Mars
spotify:track:2nLtzopw4rPReszdYBJU6h;Numb;spotify:artist:6XyY86QOPPrYVGvF9ch6wz;Linkin Park
spotify:track:5GorCbAP4aL0EJ16frG2hd;Boulevard of Broken Dreams;spotify:artist:7oPftvlwr6VrsViSDV7fJY;Green Day
spotify:track:3ZOEytgrvLwQaqXreDs2Jx;Can't Stop;spotify:artist:0L8ExT028jH3ddEcZwqJJ5;Red Hot Chili Peppers
spotify:track:0COqiPhxzoWICwFCS4eZcp;Bring Me To Life;spotify:artist:5nGIFgo0shDenQYSE0Sn7c;Evanescence
spotify:track:4VqPOruhp5EdPBeR92t6lQ;Uprising;spotify:artist:12Chz98pHFMPJEknJQMWvI;Muse
spotify:track:6GG73Jik4jUlQCkKg9JuGO;The Middle;spotify:artist:3Ayl7mCk0nScecqOzvNp6s;Jimmy Eat World
spotify:track:3Zwu2K0Qa5sT6teCCHPShP;Thnks fr th Mmrs;spotify:artist:4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy
spotify:track:2DlHlPMa4M17kufBvI2lEN;Chop Suey!;spotify:artist:5eAWCfyUhZtHHtBdNk56l1;System Of A Down
spotify:track:0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;spotify:artist:6deZN1bslXzeGvOLaLMOIF;Nickelback
spotify:track:18lR4BzEs7e3qzc0KVkTpU;What I've Done;spotify:artist:6XyY86QOPPrYVGvF9ch6wz;Linkin Park
spotify:track:5W8YXBz9MTIDyrpYaCg2Ky;Last Resort;spotify:artist:4RddZ3iHvSpGV4dvATac9X;Papa Roach
spotify:track:1oTo3ijRbaDAtrjJrGAPSw;I Miss You;spotify:artist:6FBDaR13swtiWwGhX1WQsP;blink-182
spotify:track:5vfjUAhefN7IjHbTvVCT4Z;Holiday;spotify:artist:7oPftvlwr6VrsViSDV7fJY;Green Day
spotify:track:2TfSHkHiFO4gRztVIkggkE;Sugar, We're Goin Down;spotify:artist:4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy
spotify:track:6ZOBP3NvffbU4SZcrnt1k6;Kryptonite;spotify:artist:2RTUTCvo6onsAnheUk3aL9;3 Doors Down
spotify:track:0snQkGI5qnAmohLE7jTsTn;Toxicity;spotify:artist:5eAWCfyUhZtHHtBdNk56l1;System Of A Down
spotify:track:2avKuMN2QXkaG9vvHa2JLt;Take A Look Around;spotify:artist:165ZgPlLkK7bf5bDoFc6Sb;Limp Bizkit
spotify:track:4wzjNqjKAKDU82e8uMhzmr;Face Down;spotify:artist:1SImpQO0GbjRgvlwCcCtFo;The Red Jumpsuit Apparatus
spotify:track:1HNE2PX70ztbEl6MLxrpNL;In Too Deep;spotify:artist:0qT79UgT5tY4yudH9VfsdT;Sum 41
spotify:track:003vvx7Niy0yvhvHt4a68B;Mr. Brightside;spotify:artist:0C0XlULifJtAgn6ZNCW2eu;The Killers
spotify:track:2MrWu3Gt6ucsOHC6eE8oLV;Like a Stone;spotify:artist:2ziB7fzrXBoh1HUPS6sVFn;Audioslave
spotify:track:6TfBA04WJ3X1d1wXhaCFVT;You're Gonna Go Far, Kid;spotify:artist:5LfGQac0EIXyAN8aUwmNAQ;The Offspring
spotify:track:0a7BloCiNzLDD9qSQHh5m7;Dance, Dance;spotify:artist:4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy
spotify:track:3dPQuX8Gs42Y7b454ybpMR;Seven Nation Army;spotify:artist:4F84IBURUo98rz4r61KF70;The White Stripes
spotify:track:3IV4swNduIRunHREK80owz;Rollin' (Air Raid Vehicle);spotify:artist:165ZgPlLkK7bf5bDoFc6Sb;Limp Bizkit
spotify:track:5wQnmLuC1W7ATsArWACrgW;Welcome to the Black Parade;spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb;My Chemical Romance
spotify:track:1VNWaY3uNfoeWqb5U8x2QX;Lonely Day;spotify:artist:5eAWCfyUhZtHHtBdNk56l1;System Of A Down
spotify:track:5B5eTk7DF8KVp1zpQoY1XY;The Reason;spotify:artist:2MqhkhX4npxDZ62ObR5ELO;Hoobastank
spotify:track:1vcxF91pWs9uNwDROuiCPB;Savior;spotify:artist:6Wr3hh341P84m3EI8qdn9O;Rise Against
spotify:track:7lRlq939cDG4SzWOF4VAnd;I'm Not Okay (I Promise);spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb;My Chemical Romance
spotify:track:72zZfHPYx43shcP3eKkYi5;Are You Gonna Be My Girl;spotify:artist:5ypxebeHEIXjMtJb17uJlI;Jet
spotify:track:48UPSzbZjgc449aqz8bxox;Californication;spotify:artist:0L8ExT028jH3ddEcZwqJJ5;Red Hot Chili Peppers
spotify:track:10Nmj3JCNoMeBQ87uw5j8k;Dani California;spotify:artist:0L8ExT028jH3ddEcZwqJJ5;Red Hot Chili Peppers
spotify:track:7j31rVgGX9Q2blT92VBEA0;Teenagers;spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb;My Chemical Romance
spotify:track:20I8RduZC2PWMWTDCZuuAN;Take Me Out;spotify:artist:0XNa1vTidXlvJ2gHSsRi4A;Franz Ferdinand
spotify:track:2VGQ342iuqj6aSaYbyBQVJ;Prayer Of The Refugee;spotify:artist:6Wr3hh341P84m3EI8qdn9O;Rise Against
spotify:track:3l9CW99AHtExIRV4hW2N5m;Misery Business;spotify:artist:74XFHRwlV6OrjEM0A2NCMF;Paramore
spotify:track:6rUp7v3l8yC4TKxAAR5Bmx;I Hate Everything About You;spotify:artist:2xiIXseIJcq3nG7C8fHeBj;Three Days Grace
spotify:track:0jqK7sGTLsHPkQrrcrGuKD;Still Waiting;spotify:artist:0qT79UgT5tY4yudH9VfsdT;Sum 41
spotify:track:1fJFuvU2ldmeAm5nFIHcPP;First Date;spotify:artist:6FBDaR13swtiWwGhX1WQsP;blink-182
spotify:track:25CMmGsl22APKhfuj4Tp7j;It's Been Awhile;spotify:artist:5KDIH2gF0VpelTqyQS7udb;Staind
spotify:track:0ntQJM78wzOLVeCUAW7Y45;Sex on Fire;spotify:artist:2qk9voo8llSGYcZ6xrBzKx;Kings of Leon
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F;Complicated;spotify:artist:0p4nmQO2msCgU4IF37Wi3j;Avril Lavigne
spotify:track:70wYA8oYHoMzhRRkARoMhU;When You Were Young;spotify:artist:0C0XlULifJtAgn6ZNCW2eu;The Killers
spotify:track:0UrWr7Jnu1heq1o99ZwUd0;Youth of the Nation;spotify:artist:6KO6G41BBLTDNYOLefWTMU;P.O.D.
spotify:track:3HTLIvqe7MoSlsqw2DAynt;Gives You Hell;spotify:artist:3vAaWhdBR38Q02ohXqaNHT;The All-American Rejects
spotify:track:5FZxsHWIvUsmSK1IAvm2pp;Best of You;spotify:artist:7jy3rLJdDQY21OgRLCZ9sD;Foo Fighters
spotify:track:16DhvbuyvJob4Q9GHNYu2n;She Hates Me;spotify:artist:3dXaa6jwM7B52GZpaJEIr5;Puddle Of Mudd
spotify:track:4bPQs0PHn4xbipzdPfn6du;I Write Sins Not Tragedies;spotify:artist:20JZFwl6HVl6yg8a4H3ZqK;Panic! At The Disco
spotify:track:6hwQ69v7VbPhTTR2fOtYX7;Want You Bad;spotify:artist:5LfGQac0EIXyAN8aUwmNAQ;The Offspring
spotify:track:0BRHnOFm6sjxN1i9LJrUDu;The Anthem;spotify:artist:5aYyPjAsLj7UzANzdupwnS;Good Charlotte
spotify:track:1ZozJfi8u9cO2Ob8KwiwNT;Higher;spotify:artist:43sZBwHjahUvgbx1WNIkIz;Creed
spotify:track:4IDfVjI1TlB1UwlC01T4Bm;Decode - Twilight Soundtrack Version;spotify:artist:74XFHRwlV6OrjEM0A2NCMF;Paramore
spotify:track:6tsojOQ5wHaIjKqIryLZK6;All My Life;spotify:artist:7jy3rLJdDQY21OgRLCZ9sD;Foo Fighters
spotify:track:7x8dCjCr0x6x2lXKujYD34;The Pretender;spotify:artist:7jy3rLJdDQY21OgRLCZ9sD;Foo Fighters
spotify:track:3lPr8ghNDBLc2uZovNyLs9;Supermassive Black Hole;spotify:artist:12Chz98pHFMPJEknJQMWvI;Muse
spotify:track:28IEbk5a7twNTbUEvWslUb;Paralyzer;spotify:artist:0niJkG4tKkne3zwr7I8n9n;Finger Eleven
spotify:track:5pvJ59i7JxylN8VB24xdMs;The Diary of Jane - Single Version;spotify:artist:5BtHciL0e0zOP7prIHn3pP;Breaking Benjamin
spotify:track:7kzKAuUzOITUauHAhoMoxA;Last Nite;spotify:artist:0epOFNiUfyON9EYx7Tpr6V;The Strokes
spotify:track:7ISL3LO8AWP3fKIXunvqTa;Joker And The Thief;spotify:artist:3yEnArbNHyTCwMRvD9SBy4;Wolfmother
spotify:track:0Ti2dlF2xLjXblvdU5fCxM;Miss Murder;spotify:artist:19I4tYiChJoxEO5EuviXpz;AFI
spotify:track:45zvStEMsXp8z45OQRhWFJ;American Idiot;spotify:artist:7oPftvlwr6VrsViSDV7fJY;Green Day
spotify:track:2MLHyLy5z5l5YRp7momlgw;Island In The Sun;spotify:artist:3jOstUTkEu2JkjvRdBA5Gu;Weezer
spotify:track:5z6xHjCZr7a7AIcy8sPBKy;Smooth Criminal;spotify:artist:6TZdvF1kFzwnQLgHQynzsO;Alien Ant Farm
spotify:track:5VGlqQANWDKJFl0MBG3sg2;Use Somebody;spotify:artist:2qk9voo8llSGYcZ6xrBzKx;Kings of Leon
spotify:track:23oxJmDc1V9uLUSmN2LIvx;Ocean Avenue;spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf;Yellowcard
spotify:track:3UygY7qW2cvG9Llkay6i1i;Going Under;spotify:artist:5nGIFgo0shDenQYSE0Sn7c;Evanescence
spotify:track:6otiaV2fagE3s8IvP6WkwG;I'm Just a Kid;spotify:artist:2p4FqHnazRucYQHyDCdBrJ;Simple Plan
spotify:track:0JJP0IS4w0fJx01EcrfkDe;Dear Maria, Count Me In;spotify:artist:46gyXjRIvN1NL1eCB8GBxo;All Time Low
spotify:track:57Xjny5yNzAcsxnusKmAfA;Reptilia;spotify:artist:0epOFNiUfyON9EYx7Tpr6V;The Strokes
spotify:track:4eAwB5pnKFTmsgc3zWoYO0;Fake It;spotify:artist:6B5c4sch27tWHAGdarpPaW;Seether
spotify:track:6KtLECDztnah63TNmV4Plw;Wish You Were Here;spotify:artist:3YcBF2ttyueytpXtEzn1Za;Incubus
spotify:track:1yKu2MhpwzDXXH2tzG6xoa;Beverly Hills;spotify:artist:3jOstUTkEu2JkjvRdBA5Gu;Weezer
spotify:track:20j7B6mL9gnNvG3ic6Vwh5;Hate To Say I Told You So;spotify:artist:4DToQR3aKrHQSSRzSz8Nzt;The Hives
spotify:track:0knbMPVHpFbsx38pLoYSRs;Hysteria;spotify:artist:12Chz98pHFMPJEknJQMWvI;Muse
spotify:track:4xlEKYv7HmC8zXoJIbpZKM;Steady, As She Goes;spotify:artist:4wo1267SJuUfHgasdlfNfc;The Raconteurs
spotify:track:756CJtQRFSxEx9jV4P9hpA;I Believe in a Thing Called Love;spotify:artist:5r1bdqzhgRoHC3YcCV6N5a;The Darkness
spotify:track:0WPfJ6xDmKVCKhCECaB8Hn;No One Knows;spotify:artist:4pejUc4iciQfgdX6OKulQn;Queens of the Stone Age
spotify:track:5NeIONQWJ25uPylJBJiO4c;Through Glass;spotify:artist:49qiE8dj4JuNdpYGRPdKbF;Stone Sour
spotify:track:3DQVgcqaP3iSMbaKsd57l5;I Bet You Look Good On The Dancefloor;spotify:artist:7Ln80lUS6He07XvHI8qqHH;Arctic Monkeys
spotify:track:4juzduULFJiZVIcrC1tkxE;Banquet;spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ;Bloc Party
spotify:track:1rzYrkxgRuLLJDqWdB32pK;Little Sister;spotify:artist:4pejUc4iciQfgdX6OKulQn;Queens of the Stone Age
spotify:track:42GP0xKtkolBnmqQRvSllO;Welcome Home;spotify:artist:3utxjLheHaVEd9bPjQRsy8;Coheed and Cambria
spotify:track:0gzqZ9d1jIKo9psEIthwXe;Beautiful Day;spotify:artist:51Blml2LZPmy7TTiAg47vQ;U2
spotify:track:5XMjXjwCkJVmk0AHm7z8IV;Jerk It Out;spotify:artist:4rGrN4XDYhP6dUAZMvcuHr;Caesars
spotify:track:2yYASbXnAV71CLbNY1HCWf;The Bitter End;spotify:artist:6RZUqkomCmb8zCRqc9eznB;Placebo
spotify:track:4feXJ5IC3avXsVW9WNFSag;Rock N Roll Train;spotify:artist:711MCceyCBcFnzjGY4Q7Un;AC/DC
spotify:track:5O8L4I2S4izFGDjvP7xAKv;You Know You're Right;spotify:artist:6olE6TJLqED3rqDCT0FyPh;Nirvana
spotify:track:0vrlOGhCwK3xqy1xNUQJHj;Obstacle 1;spotify:artist:3WaJSfKnzc65VDgmj2zU8B;Interpol
spotify:track:3CkjLJYnnyOtGk4Jx4iYS4;Woman;spotify:artist:3yEnArbNHyTCwMRvD9SBy4;Wolfmother
spotify:track:5KDNFlHAdDJ84fhK27c35X;Judith;spotify:artist:4DFhHyjvGYa9wxdHUjtDkc;A Perfect Circle
spotify:track:4RCWB3V8V0dignt99LZ8vH;Hey There Delilah;spotify:artist:1g1yxsNVPhMUl9GrMjEb2o;Plain White T's
spotify:track:51c94ac31swyDQj9B3Lzs3;Change (In the House of Flies);spotify:artist:6Ghvu1VvMGScGpOUJBAHNH;Deftones
spotify:track:26AYR77170U49cMcXB7aRV;Feeling This;spotify:artist:6FBDaR13swtiWwGhX1WQsP;blink-182
spotify:track:7xl2ZaOnKAxJyrkIQe2S43;Tick Tick Boom;spotify:artist:4DToQR3aKrHQSSRzSz8Nzt;The Hives
spotify:track:6PwxotrB99xgatKVzibmkz;Sorry You're Not a Winner;spotify:artist:31jvzuB4ikftPQZJwrYfCF;Enter Shikari
spotify:track:4EhbLHYOXzEoPmOfaVoIIW;The Everlasting Gaze;spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i;The Smashing Pumpkins
spotify:track:5UTYRC4IQLc7Jxc1sJapMl;One Armed Scissor;spotify:artist:5E2rtn57BM2WPjwak4kGd5;At the Drive-In
spotify:track:60a0Rd6pjrkxjPbaKzXjfq;In the End;spotify:artist:6XyY86QOPPrYVGvF9ch6wz;Linkin Park
spotify:track:1cmigB9I6IRpFqjIbzvSQB;Suite bergamasque, L. 75: III. Clair de lune;spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:0d6alfZHUx3xoRnPjkTL7Q;Claude Debussy, Alice Sara Ott
spotify:track:3U8Fx7zNTQrctytkj6Gqgd;The Carnival of the Animals, R. 125: XIII. The Swan;spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:7FEzSfCBSOo0wAmdk9pQ6M, spotify:artist:4N1PbaBSiRha6yzEmdwcCZ, spotify:artist:6OTr0YwLwGdv7mlmX27hRX;Camille Saint-Saëns, Isata Kanneh-Mason, Jeneba Kanneh-Mason, Sheku Kanneh-Mason
spotify:track:0Seumg0NAq7KS1r0Yso52H;Satie / Orch. Ducros: Gymnopédie No. 1;spotify:artist:459INk8vcC0ebEef82WjIK, spotify:artist:57ziOSBD3x0PhVbl7MXTgI, spotify:artist:21fQySiU5oXJndnmB15Nrq, spotify:artist:35oIWRMerJ2P1ORtzeUD0N, spotify:artist:1ziXHb2jDpxIxQqIckAZ0I;Erik Satie, Gautier Capuçon, Jerome Ducros, Adrien Perruchon, Orchestre de chambre de Paris
spotify:track:2m2GJpBjQNNphaCgBeoj7R;Fracture;spotify:artist:25s9H1JQmTu3iuFzpXWUIg;Stephan Moccio
spotify:track:2w2FzZKSwudBZjOsCei9Qz;The Well-Tempered Clavier, Book 1: Prelude No. 1 in C Major, BWV 846/1;spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:2VIdKQmRHnWofsR4odfFOh;Johann Sebastian Bach, Maurizio Pollini
spotify:track:4SbAXtlOJ0eCL0XwFVi0Ij;Kinderszenen, Op. 15: VII. Träumerei;spotify:artist:2UqjDAXnDxejEyE0CzfUrZ, spotify:artist:66MvLAvLznk5UOvASVGjk4;Robert Schumann, Martha Argerich
spotify:track:6wKkWFhgOPKgiE360T6NNs;Cavalleria rusticana: Intermezzo;spotify:artist:3Z5fRknMBBNfCw6pkgR9S8, spotify:artist:6I6fmQU7HGrUsCm4B5Nlk3, spotify:artist:2feNtcJ1uaxCQFDqv4zajg;Pietro Mascagni, Royal Liverpool Philharmonic Orchestra, Domingo Hindoyan
spotify:track:7nGA1sRfLDWXYb3VPstnZf;Notturno for Strings and Harp;spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:59r5UU2HOytn9V5uMZ5Vur, spotify:artist:33cajGDdkhowQ8hiuEucXM, spotify:artist:54IIxBw0yvR4zHHxE8GG5d;Arnold Schoenberg, Daniel Hope, Zürcher Kammerorchester, Jane Berthe
spotify:track:7ppSvEwgUgrG21DQRMea2u;Gerropaedie;spotify:artist:2BQDNQfUHLrbTDJUtCD7wV, spotify:artist:3cIUPGJBCDHKvWGp8YA847;Sally Beamish, Stephanie Irvine
spotify:track:3y9YR3AVhOws7ayEXnsZJo;Innocence - Nowhere Sessions;spotify:artist:0cz823HlK1N6jNAIztyYHs;Snorri Hallgrímsson
spotify:track:1G3QPQkoXvpChjNUhd6Tfs;The Arts and the Hours;spotify:artist:4JSWO1Pf2zV991fq64uAce, spotify:artist:0iqgjl0OG3z53PZVIB7ZyD;Jean-Philippe Rameau, Víkingur Ólafsson
spotify:track:0Zhq33AjWPz0vwdQwrCnrm;Filma Solo;spotify:artist:1vYrIm6O7VtBGszIWe75mB;Gabríel Ólafs
spotify:track:3AyBxuHEDJrZtvYWCIY9cI;"Touch Her Soft Lips and Part (From ""Henry V"")";spotify:artist:6RsX7qYw5KVKiOjS8BxjL5, spotify:artist:0qlhpgr87PEG89Jd5iRpxe, spotify:artist:0nrZ1B05azLrMkhTOFaoGJ;William Walton, John Rutter, Aurora Orchestra
spotify:track:0gavEJ0UzuYXGi69dk8aSy;Thaïs, Act II: Méditation;spotify:artist:1AoIc5YFH0aSFc4mKqBEeB, spotify:artist:3Ka1nDpDzxDveEqUPzIeom, spotify:artist:0MvSBMGRQJY3mRwIbJsqF1, spotify:artist:6YVQX2N8puDVWKE1StJVqn;Jules Massenet, Joshua Bell, Royal Philharmonic Orchestra, Andrew Litton
spotify:track:6By3SpQrptW5IErRnCaR9S;Positano;spotify:artist:25s9H1JQmTu3iuFzpXWUIg;Stephan Moccio
spotify:track:1ymzdmQYjO3ThdlToYZnTq;Adieux;spotify:artist:2uFUBdaVGtyMqckSeCl0Qj;Ludovico Einaudi
spotify:track:5Il7CYHKf7JFTxP8zbfxZk;Nocturne No. 2 in E-Flat Major, Op. 9 No. 2;spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:3G5zQYaRH9y6ruE4QnoITP;Frédéric Chopin, Stephen Hough
